postalCode,Longitude,Latitude,burrito,taco,Ratio of Burritos/Taco
70458,-89.77215100000001,30.272675,,27.0,
70815,-91.063684,30.454915000000003,,7.0,
7090,-74.345624,40.646334,72.0,,
71913,-93.09629,34.424690000000005,,3.0,
72116,-92.23576800000001,34.802035,,26.0,
72201,-92.276457,34.748078,,8.0,
72207,-92.358471,34.773082,,63.0,
72212,-92.422264,34.790223,,16.0,
72956,-94.34022,35.443498,27.0,,
73099,-97.732383,35.496256,39.0,5.0,7.8
74021,-95.850702,36.360682000000004,32.0,,
7457,-74.311301,40.99289,4.0,,
74701,-96.383237,34.003629,23.0,,
75051,-96.99681899999999,32.715451,4.0,,
75069,-96.60101999999999,33.17928,,13.0,
75204,-96.78868299999999,32.798752,,9.0,
75208,-96.83946,32.754908,,3.0,
75212,-96.875996,32.782293,,73.0,
75241,-96.746634,32.656089,27.0,,
76013,-97.152038,32.717191,,21.0,
76020,-97.55724000000001,32.91,,190.0,
76039,-97.086444,32.853924,,8.0,
76107,-97.38048,32.743320000000004,,33.0,
76132,-97.432311,32.671991,,14.0,
76137,-97.29343,32.859978000000005,38.0,,
76201,-97.14429399999999,33.220863,,30.0,
7647,-73.950666,41.010086,,5.0,
76504,-97.369617,31.093709000000004,31.0,,
76950,-100.642173,30.568862,26.0,,
77002,-95.361884,29.757918,,40.0,
77036,-95.536659,29.701008,,23.0,
77054,-95.40041,29.682326,,14.0,
77092,-95.473861,29.83355,65.0,,
77303,-95.414641,30.360509999999998,20.0,,
77494,-95.810176,29.753968,,35.0,
77511,-95.23944,29.4,18.0,,
77530,-95.12016700000001,29.789616,,15.0,
77541,-95.36628,28.95198,31.0,,
77581,-95.275452,29.560076000000002,,19.0,
77584,-95.329534,29.544998,,157.0,
78201,-98.53004200000001,29.467240000000004,,4.0,
78218,-98.397733,29.5013,,45.0,
78256,-98.62473100000001,29.623424,,10.0,
78503,-98.24140799999999,26.177511,,10.0,
78520,-97.53534,25.98174,,106.0,
7901,-74.36293,40.714694,75.0,,
79107,-101.81040300000001,35.227160999999995,4.0,,
79902,-106.499183,31.789027,71.0,,
80015,-104.7888,39.624696,,5.0,
80027,-105.1542,39.96642,67.0,,
80226,-105.065468,39.713584000000004,,3.0,
